Webinar ID,Title,Interest Rating,Last Name,First Name,Phone Number,Email Address,Engagement Type,Engagement Count(Per Person),Date Asked,Time Asked,Date Answered,Time Answered,Question Asked,Answer Given,Attended,Join Time - Leave Time (Time in Session),Time In Session,Day,Date,Actual Duration
706213083,Mental Health Careers HPC Session,96,Student-1,Student-1,Student-1,Student-1,Q&A,2,09/17/2020,01:54:20 PM PDT,,,What are some good colleges to receive your degrees for these careers?,,Yes,"09/17/2020 12:44 PM PDT - 09/17/2020 12:45 PM PDT (2 minutes),09/17/2020 12:55 PM PDT - 09/17/2020 02:02 PM PDT (1 hour 8 minutes)",1 hour 9 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,96,Student-1,Student-1,Student-1,Student-1,Q&A,3,09/17/2020,01:56:56 PM PDT,,,Any pros and cons about these careers? And also what are some things that you struggled with as far as college?,,Yes,"09/17/2020 12:44 PM PDT - 09/17/2020 12:45 PM PDT (2 minutes),09/17/2020 12:55 PM PDT - 09/17/2020 02:02 PM PDT (1 hour 8 minutes)",1 hour 9 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,96,Student-1,Student-1,Student-1,Student-1,Poll,4,n/a,n/a,09/17/2020,02:00:28 PM PDT,How informed are you about careers in Mental Health? (Post),Very Informed,Yes,"09/17/2020 12:44 PM PDT - 09/17/2020 12:45 PM PDT (2 minutes),09/17/2020 12:55 PM PDT - 09/17/2020 02:02 PM PDT (1 hour 8 minutes)",1 hour 9 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,96,Student-1,Student-1,Student-1,Student-1,Poll,5,n/a,n/a,09/17/2020,01:54:39 PM PDT,Which of the following careers in Behavioral Health interests you most?,Other,Yes,"09/17/2020 12:44 PM PDT - 09/17/2020 12:45 PM PDT (2 minutes),09/17/2020 12:55 PM PDT - 09/17/2020 02:02 PM PDT (1 hour 8 minutes)",1 hour 9 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,96,Student-1,Student-1,Student-1,Student-1,Poll,6,n/a,n/a,09/17/2020,01:08:52 PM PDT,How informed are you about careers in Mental Health?,Somewhat informed,Yes,"09/17/2020 12:44 PM PDT - 09/17/2020 12:45 PM PDT (2 minutes),09/17/2020 12:55 PM PDT - 09/17/2020 02:02 PM PDT (1 hour 8 minutes)",1 hour 9 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,96,Student-1,Student-1,Student-1,Student-1,Poll,7,n/a,n/a,09/17/2020,02:00:51 PM PDT,How interested are you in pursuing a career in Mental Health (Post),Very Interested,Yes,"09/17/2020 12:44 PM PDT - 09/17/2020 12:45 PM PDT (2 minutes),09/17/2020 12:55 PM PDT - 09/17/2020 02:02 PM PDT (1 hour 8 minutes)",1 hour 9 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,81,Student-2,Student-2,Student-2,Student-2,Poll,1,n/a,n/a,09/17/2020,02:00:28 PM PDT,How informed are you about careers in Mental Health? (Post),Very Informed,Yes,"09/17/2020 12:59 PM PDT - 09/17/2020 01:07 PM PDT (9 minutes),09/17/2020 01:15 PM PDT - 09/17/2020 02:02 PM PDT (47 minutes)",56 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,81,Student-2,Student-2,Student-2,Student-2,Poll,2,n/a,n/a,09/17/2020,01:54:39 PM PDT,Which of the following careers in Behavioral Health interests you most?,Other,Yes,"09/17/2020 12:59 PM PDT - 09/17/2020 01:07 PM PDT (9 minutes),09/17/2020 01:15 PM PDT - 09/17/2020 02:02 PM PDT (47 minutes)",56 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,81,Student-2,Student-2,Student-2,Student-2,Poll,3,n/a,n/a,09/17/2020,02:00:50 PM PDT,How interested are you in pursuing a career in Mental Health (Post),Very Interested,Yes,"09/17/2020 12:59 PM PDT - 09/17/2020 01:07 PM PDT (9 minutes),09/17/2020 01:15 PM PDT - 09/17/2020 02:02 PM PDT (47 minutes)",56 minutes,Thu,09/17/2020,1 hour 31 minutes
706213083,Mental Health Careers HPC Session,81,Student-2,Student-2,Student-2,Student-2,Survey,4,n/a,n/a,09/17/2020,02:08:35 PM PDT,What did you learn from this session?,I learned something new that is useful to me.,Yes,"09/17/2020 12:59 PM PDT - 09/17/2020 01:07 PM PDT (9 minutes),09/17/2020 01:15 PM PDT - 09/17/2020 02:02 PM PDT (47 minutes)",56 minutes,Thu,09/17/2020,1 hour 31 minutes
